model,model_family,population,resampling_strategy,rows,fraud_count,fraud_rate,pr_auc,roc_auc,threshold,precision,recall,f1,alert_rate,alerts_per_1000,false_positive_rate,fraud_amount_recall,fraud_amount_captured,true_positive,false_positive,false_negative,true_negative,brier_score,model_role,selection_basis,data_layer,data_status,source_type,claim_boundary
logistic_no_resampling,logistic,validation,none,60000,59,0.0009833333333333332,0.6089827060117986,0.9691931529280629,0.0065647881894868015,0.16,0.8135593220338984,0.26740947075208915,0.005,5.0,0.004204134065164078,0.6346304586460082,7764.380000000001,48,252,11,59689,0.0005977714430744486,Transparent baseline,"Validation PR-AUC, fraud amount capture, recall and workload; test not used for selection",Observed,Derived,Observed PCA fraud benchmark,Observed predictive performance; no business reason-code interpretation
logistic_no_resampling,logistic,test,none,54807,73,0.0013319466491506558,0.6896823404028806,0.9714079200476927,0.0065647881894868015,0.21201413427561838,0.821917808219178,0.33707865168539325,0.0051635739960224055,5.163573996022405,0.00407425000913509,0.691590321336395,5343.13,60,223,13,54511,0.000683455098186089,Transparent baseline,"Validation PR-AUC, fraud amount capture, recall and workload; test not used for selection",Observed,Derived,Observed PCA fraud benchmark,Observed predictive performance; no business reason-code interpretation
logistic_class_weight,logistic,validation,class_weight,60000,59,0.0009833333333333332,0.7528012347105787,0.9703711474475325,0.00402902456160726,0.16,0.8135593220338984,0.26740947075208915,0.005,5.0,0.004204134065164078,0.6346304586460082,7764.380000000001,48,252,11,59689,0.00037651065190048475,Champion,"Validation PR-AUC, fraud amount capture, recall and workload; test not used for selection",Observed,Derived,Observed PCA fraud benchmark,Observed predictive performance; no business reason-code interpretation
logistic_class_weight,logistic,test,class_weight,54807,73,0.0013319466491506558,0.778638577026038,0.9813776816493818,0.00402902456160726,0.28440366972477066,0.8493150684931506,0.4261168384879725,0.003977594102943054,3.9775941029430544,0.0028501479884532467,0.6935900987074578,5358.58,62,156,11,54578,0.00046353832037959627,Champion,"Validation PR-AUC, fraud amount capture, recall and workload; test not used for selection",Observed,Derived,Observed PCA fraud benchmark,Observed predictive performance; no business reason-code interpretation
hist_gradient_boosting,tree,validation,class_weight,60000,59,0.0009833333333333332,0.7212436700559443,0.9628739446896792,0.012553571066294613,0.16,0.8135593220338984,0.26740947075208915,0.005,5.0,0.004204134065164078,0.6346304586460082,7764.380000000001,48,252,11,59689,0.00039629771288155304,Challenger/benchmark,"Validation PR-AUC, fraud amount capture, recall and workload; test not used for selection",Observed,Derived,Observed PCA fraud benchmark,Observed predictive performance; no business reason-code interpretation
hist_gradient_boosting,tree,test,class_weight,54807,73,0.0013319466491506558,0.7094866587988413,0.9262071207648845,0.012553571066294613,0.24152542372881355,0.7808219178082192,0.36893203883495146,0.00430601930410349,4.30601930410349,0.003270362114955969,0.6236846124573834,4818.5,57,179,16,54555,0.0005265212440033897,Challenger/benchmark,"Validation PR-AUC, fraud amount capture, recall and workload; test not used for selection",Observed,Derived,Observed PCA fraud benchmark,Observed predictive performance; no business reason-code interpretation
logistic_random_undersampling,logistic,validation,random_undersampling,60000,59,0.0009833333333333332,0.5620283836825325,0.9714713818871042,0.008237596787271515,0.16333333333333333,0.8305084745762712,0.27298050139275765,0.005,5.0,0.004187450993476919,0.6937428531961692,8487.59,49,251,10,59690,0.0006461929197443915,Challenger/benchmark,"Validation PR-AUC, fraud amount capture, recall and workload; test not used for selection",Observed,Derived,Observed PCA fraud benchmark,Observed predictive performance; no business reason-code interpretation
logistic_random_undersampling,logistic,test,random_undersampling,54807,73,0.0013319466491506558,0.6979722430030681,0.9814600225949561,0.008237596787271515,0.25311203319502074,0.8356164383561644,0.3885350318471338,0.004397248526648056,4.397248526648056,0.0032886322943691307,0.6628802489302162,5121.320000000001,61,180,12,54554,0.0006791380644218658,Challenger/benchmark,"Validation PR-AUC, fraud amount capture, recall and workload; test not used for selection",Observed,Derived,Observed PCA fraud benchmark,Observed predictive performance; no business reason-code interpretation
logistic_smote,logistic,validation,SMOTE_train_only,60000,59,0.0009833333333333332,0.691540808478929,0.9631230597092791,0.005930810702882794,0.16333333333333333,0.8305084745762712,0.27298050139275765,0.005,5.0,0.004187450993476919,0.6937428531961692,8487.59,49,251,10,59690,0.0005026610096371622,Challenger/benchmark,"Validation PR-AUC, fraud amount capture, recall and workload; test not used for selection",Observed,Derived,Observed PCA fraud benchmark,Observed predictive performance; no business reason-code interpretation
logistic_smote,logistic,test,SMOTE_train_only,54807,73,0.0013319466491506558,0.7370151690681347,0.9797278594207302,0.005930810702882794,0.24596774193548387,0.8356164383561644,0.38006230529595014,0.004524969438210447,4.524969438210447,0.0034165235502612635,0.691996748582035,5346.27,61,187,12,54547,0.0005812282005461033,Challenger/benchmark,"Validation PR-AUC, fraud amount capture, recall and workload; test not used for selection",Observed,Derived,Observed PCA fraud benchmark,Observed predictive performance; no business reason-code interpretation
isolation_forest,anomaly,validation,unsupervised,60000,59,0.0009833333333333332,0.03458551041718957,0.9498351344924203,0.9954588529411764,0.043333333333333335,0.22033898305084745,0.07242339832869081,0.005,5.0,0.004788041574214644,0.24988127825516226,3057.17,13,287,46,59654,0.4542231464445801,Challenger/benchmark,"Validation PR-AUC, fraud amount capture, recall and workload; test not used for selection",Observed,Derived,Observed PCA fraud benchmark,Observed predictive performance; no business reason-code interpretation
isolation_forest,anomaly,test,unsupervised,54807,73,0.0013319466491506558,0.07838774538037863,0.9486887016709957,0.9954588529411764,0.13131313131313133,0.3561643835616438,0.1918819188191882,0.0036126772127647927,3.6126772127647926,0.003142470859063836,0.044789835694667005,346.04,26,172,47,54562,0.4174458070166068,Challenger/benchmark,"Validation PR-AUC, fraud amount capture, recall and workload; test not used for selection",Observed,Derived,Observed PCA fraud benchmark,Observed predictive performance; no business reason-code interpretation
pca_signal_simple_benchmark,simple_benchmark,validation,none,60000,59,0.0009833333333333332,0.025358729157127512,0.9363495572906578,0.9948824999999999,0.013333333333333334,0.06779661016949153,0.022284122562674095,0.005,5.0,0.004938189219399076,0.01202829051313132,147.16,4,296,55,59645,0.37843134030159453,Challenger/benchmark,"Validation PR-AUC, fraud amount capture, recall and workload; test not used for selection",Observed,Derived,Observed PCA fraud benchmark,Observed predictive performance; no business reason-code interpretation
pca_signal_simple_benchmark,simple_benchmark,test,none,54807,73,0.0013319466491506558,0.057624498207823144,0.9526215454970014,0.9948824999999999,0.09134615384615384,0.2602739726027397,0.13523131672597866,0.003795135657853924,3.795135657853924,0.003453063909087587,0.030603712725832465,236.44,19,189,54,54545,0.3434549855375141,Challenger/benchmark,"Validation PR-AUC, fraud amount capture, recall and workload; test not used for selection",Observed,Derived,Observed PCA fraud benchmark,Observed predictive performance; no business reason-code interpretation
